Periodo,Grado de ocupación,Categoría,DATA
2015M11,Grado de ocupación por plazas,TOTAL,17.7
2015M11,Grado de ocupación por plazas,1 Llave,18.43
2015M11,Grado de ocupación por plazas,"2, 3 y 4 Llaves",11.97
2015M11,Grado de ocupación por plazas en fin de semana,TOTAL,43.45
2015M11,Grado de ocupación por plazas en fin de semana,1 Llave,44.09
2015M11,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",38.47
2015M11,Grado de ocupación por apartamentos,TOTAL,26.79
2015M11,Grado de ocupación por apartamentos,1 Llave,28
2015M11,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",15.79
2015M12,Grado de ocupación por plazas,TOTAL,23.79
2015M12,Grado de ocupación por plazas,1 Llave,23.74
2015M12,Grado de ocupación por plazas,"2, 3 y 4 Llaves",24.26
2015M12,Grado de ocupación por plazas en fin de semana,TOTAL,33.07
2015M12,Grado de ocupación por plazas en fin de semana,1 Llave,32.48
2015M12,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",38
2015M12,Grado de ocupación por apartamentos,TOTAL,31.45
2015M12,Grado de ocupación por apartamentos,1 Llave,32.4
2015M12,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",23.03
2016M01,Grado de ocupación por plazas,TOTAL,9.31
2016M01,Grado de ocupación por plazas,1 Llave,8.15
2016M01,Grado de ocupación por plazas,"2, 3 y 4 Llaves",18.69
2016M01,Grado de ocupación por plazas en fin de semana,TOTAL,20.1
2016M01,Grado de ocupación por plazas en fin de semana,1 Llave,18.42
2016M01,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",33.6
2016M01,Grado de ocupación por apartamentos,TOTAL,14.19
2016M01,Grado de ocupación por apartamentos,1 Llave,12.71
2016M01,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",30.02
2016M02,Grado de ocupación por plazas,TOTAL,14.86
2016M02,Grado de ocupación por plazas,1 Llave,13.11
2016M02,Grado de ocupación por plazas,"2, 3 y 4 Llaves",28.29
2016M02,Grado de ocupación por plazas en fin de semana,TOTAL,40.3
2016M02,Grado de ocupación por plazas en fin de semana,1 Llave,37.58
2016M02,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",60.95
2016M02,Grado de ocupación por apartamentos,TOTAL,20.39
2016M02,Grado de ocupación por apartamentos,1 Llave,18.38
2016M02,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",39.91
2016M03,Grado de ocupación por plazas,TOTAL,24.84
2016M03,Grado de ocupación por plazas,1 Llave,26.45
2016M03,Grado de ocupación por plazas,"2, 3 y 4 Llaves",11.94
2016M03,Grado de ocupación por plazas en fin de semana,TOTAL,43.91
2016M03,Grado de ocupación por plazas en fin de semana,1 Llave,44.47
2016M03,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",39.39
2016M03,Grado de ocupación por apartamentos,TOTAL,32.22
2016M03,Grado de ocupación por apartamentos,1 Llave,33.57
2016M03,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",18.5
2016M04,Grado de ocupación por plazas,TOTAL,14.7
2016M04,Grado de ocupación por plazas,1 Llave,14.52
2016M04,Grado de ocupación por plazas,"2, 3 y 4 Llaves",16.2
2016M04,Grado de ocupación por plazas en fin de semana,TOTAL,28.19
2016M04,Grado de ocupación por plazas en fin de semana,1 Llave,27.04
2016M04,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",37.35
2016M04,Grado de ocupación por apartamentos,TOTAL,21.52
2016M04,Grado de ocupación por apartamentos,1 Llave,21.96
2016M04,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",17.27
2016M05,Grado de ocupación por plazas,TOTAL,17.38
2016M05,Grado de ocupación por plazas,1 Llave,17.12
2016M05,Grado de ocupación por plazas,"2, 3 y 4 Llaves",19.59
2016M05,Grado de ocupación por plazas en fin de semana,TOTAL,36.35
2016M05,Grado de ocupación por plazas en fin de semana,1 Llave,33.74
2016M05,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",58.49
2016M05,Grado de ocupación por apartamentos,TOTAL,27.28
2016M05,Grado de ocupación por apartamentos,1 Llave,27.67
2016M05,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",23.54
2016M06,Grado de ocupación por plazas,TOTAL,17.5
2016M06,Grado de ocupación por plazas,1 Llave,17.05
2016M06,Grado de ocupación por plazas,"2, 3 y 4 Llaves",21.26
2016M06,Grado de ocupación por plazas en fin de semana,TOTAL,32.78
2016M06,Grado de ocupación por plazas en fin de semana,1 Llave,32.54
2016M06,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",34.88
2016M06,Grado de ocupación por apartamentos,TOTAL,29.34
2016M06,Grado de ocupación por apartamentos,1 Llave,29.27
2016M06,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",30.4
2016M07,Grado de ocupación por plazas,TOTAL,34.14
2016M07,Grado de ocupación por plazas,1 Llave,35.91
2016M07,Grado de ocupación por plazas,"2, 3 y 4 Llaves",20.52
2016M07,Grado de ocupación por plazas en fin de semana,TOTAL,45.28
2016M07,Grado de ocupación por plazas en fin de semana,1 Llave,45.97
2016M07,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",40.06
2016M07,Grado de ocupación por apartamentos,TOTAL,50.03
2016M07,Grado de ocupación por apartamentos,1 Llave,51.64
2016M07,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",34.63
2016M08,Grado de ocupación por plazas,TOTAL,41.16
2016M08,Grado de ocupación por plazas,1 Llave,41.99
2016M08,Grado de ocupación por plazas,"2, 3 y 4 Llaves",34.76
2016M08,Grado de ocupación por plazas en fin de semana,TOTAL,49.98
2016M08,Grado de ocupación por plazas en fin de semana,1 Llave,52.77
2016M08,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",28.57
2016M08,Grado de ocupación por apartamentos,TOTAL,60.68
2016M08,Grado de ocupación por apartamentos,1 Llave,61.34
2016M08,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",54.83
2016M09,Grado de ocupación por plazas,TOTAL,24.05
2016M09,Grado de ocupación por plazas,1 Llave,24.9
2016M09,Grado de ocupación por plazas,"2, 3 y 4 Llaves",17.68
2016M09,Grado de ocupación por plazas en fin de semana,TOTAL,38.62
2016M09,Grado de ocupación por plazas en fin de semana,1 Llave,37.33
2016M09,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",48.36
2016M09,Grado de ocupación por apartamentos,TOTAL,40.62
2016M09,Grado de ocupación por apartamentos,1 Llave,42.13
2016M09,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",26.22
2016M10,Grado de ocupación por plazas,TOTAL,26.56
2016M10,Grado de ocupación por plazas,1 Llave,26.74
2016M10,Grado de ocupación por plazas,"2, 3 y 4 Llaves",25.21
2016M10,Grado de ocupación por plazas en fin de semana,TOTAL,47.31
2016M10,Grado de ocupación por plazas en fin de semana,1 Llave,45.75
2016M10,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",59.58
2016M10,Grado de ocupación por apartamentos,TOTAL,39
2016M10,Grado de ocupación por apartamentos,1 Llave,39.93
2016M10,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",30.3
2016M11,Grado de ocupación por plazas,TOTAL,14.92
2016M11,Grado de ocupación por plazas,1 Llave,14.43
2016M11,Grado de ocupación por plazas,"2, 3 y 4 Llaves",18.58
2016M11,Grado de ocupación por plazas en fin de semana,TOTAL,32.88
2016M11,Grado de ocupación por plazas en fin de semana,1 Llave,29.77
2016M11,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",56.14
2016M11,Grado de ocupación por apartamentos,TOTAL,25.84
2016M11,Grado de ocupación por apartamentos,1 Llave,26.16
2016M11,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",22.76
2016M12,Grado de ocupación por plazas,TOTAL,21.65
2016M12,Grado de ocupación por plazas,1 Llave,19.91
2016M12,Grado de ocupación por plazas,"2, 3 y 4 Llaves",35.99
2016M12,Grado de ocupación por plazas en fin de semana,TOTAL,34.39
2016M12,Grado de ocupación por plazas en fin de semana,1 Llave,31.61
2016M12,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",57.44
2016M12,Grado de ocupación por apartamentos,TOTAL,31.44
2016M12,Grado de ocupación por apartamentos,1 Llave,30.93
2016M12,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",38.07
2017M01,Grado de ocupación por plazas,TOTAL,9.95
2017M01,Grado de ocupación por plazas,1 Llave,10.88
2017M01,Grado de ocupación por plazas,"2, 3 y 4 Llaves",2.54
2017M01,Grado de ocupación por plazas en fin de semana,TOTAL,17.17
2017M01,Grado de ocupación por plazas en fin de semana,1 Llave,19.32
2017M01,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",
2017M01,Grado de ocupación por apartamentos,TOTAL,19.28
2017M01,Grado de ocupación por apartamentos,1 Llave,21
2017M01,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",1.65
2017M02,Grado de ocupación por plazas,TOTAL,19.98
2017M02,Grado de ocupación por plazas,1 Llave,21.36
2017M02,Grado de ocupación por plazas,"2, 3 y 4 Llaves",9.13
2017M02,Grado de ocupación por plazas en fin de semana,TOTAL,42.58
2017M02,Grado de ocupación por plazas en fin de semana,1 Llave,43.81
2017M02,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",31.07
2017M02,Grado de ocupación por apartamentos,TOTAL,30.06
2017M02,Grado de ocupación por apartamentos,1 Llave,32.49
2017M02,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",5.31
2017M03,Grado de ocupación por plazas,TOTAL,18.18
2017M03,Grado de ocupación por plazas,1 Llave,18.86
2017M03,Grado de ocupación por plazas,"2, 3 y 4 Llaves",12.69
2017M03,Grado de ocupación por plazas en fin de semana,TOTAL,36.51
2017M03,Grado de ocupación por plazas en fin de semana,1 Llave,36.63
2017M03,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",34.69
2017M03,Grado de ocupación por apartamentos,TOTAL,27.75
2017M03,Grado de ocupación por apartamentos,1 Llave,29.67
2017M03,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",9.27
2017M04,Grado de ocupación por plazas,TOTAL,29.98
2017M04,Grado de ocupación por plazas,1 Llave,31.74
2017M04,Grado de ocupación por plazas,"2, 3 y 4 Llaves",16.22
2017M04,Grado de ocupación por plazas en fin de semana,TOTAL,48.41
2017M04,Grado de ocupación por plazas en fin de semana,1 Llave,49.61
2017M04,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",38.62
2017M04,Grado de ocupación por apartamentos,TOTAL,40.64
2017M04,Grado de ocupación por apartamentos,1 Llave,43.65
2017M04,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",11.71
2017M05,Grado de ocupación por plazas,TOTAL,19.47
2017M05,Grado de ocupación por plazas,1 Llave,20.81
2017M05,Grado de ocupación por plazas,"2, 3 y 4 Llaves",8.99
2017M05,Grado de ocupación por plazas en fin de semana,TOTAL,39.77
2017M05,Grado de ocupación por plazas en fin de semana,1 Llave,41.96
2017M05,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",22.12
2017M05,Grado de ocupación por apartamentos,TOTAL,29.13
2017M05,Grado de ocupación por apartamentos,1 Llave,31.44
2017M05,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",6.9
2017M06,Grado de ocupación por plazas,TOTAL,20.8
2017M06,Grado de ocupación por plazas,1 Llave,21.95
2017M06,Grado de ocupación por plazas,"2, 3 y 4 Llaves",12.42
2017M06,Grado de ocupación por plazas en fin de semana,TOTAL,32.43
2017M06,Grado de ocupación por plazas en fin de semana,1 Llave,32.75
2017M06,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",29.88
2017M06,Grado de ocupación por apartamentos,TOTAL,30.16
2017M06,Grado de ocupación por apartamentos,1 Llave,32.42
2017M06,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",9.21
2017M07,Grado de ocupación por plazas,TOTAL,32.1
2017M07,Grado de ocupación por plazas,1 Llave,35.28
2017M07,Grado de ocupación por plazas,"2, 3 y 4 Llaves",8.87
2017M07,Grado de ocupación por plazas en fin de semana,TOTAL,50.44
2017M07,Grado de ocupación por plazas en fin de semana,1 Llave,54.07
2017M07,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",23.78
2017M07,Grado de ocupación por apartamentos,TOTAL,46.23
2017M07,Grado de ocupación por apartamentos,1 Llave,50.64
2017M07,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",5.35
2017M08,Grado de ocupación por plazas,TOTAL,43.07
2017M08,Grado de ocupación por plazas,1 Llave,45.13
2017M08,Grado de ocupación por plazas,"2, 3 y 4 Llaves",27.71
2017M08,Grado de ocupación por plazas en fin de semana,TOTAL,56.2
2017M08,Grado de ocupación por plazas en fin de semana,1 Llave,57.32
2017M08,Grado de ocupación por plazas en fin de semana,"2, 3 y 4 Llaves",47.81
2017M08,Grado de ocupación por apartamentos,TOTAL,60.67
2017M08,Grado de ocupación por apartamentos,1 Llave,64.91
2017M08,Grado de ocupación por apartamentos,"2, 3 y 4 Llaves",20.94
2017M09,Grado de ocupación por plazas,TOTAL,22.89
2017M09,Grado de ocupación por plazas,1 Llave,23.33
2017M09,Grado de ocupación por plazas,"2, 3 y 4 Llaves",19.71
2017M09,Grado de ocupación por plazas en fin de semana,TOTAL,32.87
2017M09,Grado de ocupación por plazas en fin de semana,1 Llave,32.38
